ID,CASE_NUMBER,BLOCK,IUCR,PRIMARY_TYPE,DESCRIPTION,LOCATION_DESCRIPTION,ARREST,DOMESTIC,BEAT,DISTRICT,WARD,COMMUNITY_AREA_NUMBER,FBICODE,YEAR,LONGITUDE,LATITUDE
2048711,HH262924,055XX W HARRISON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,SIDEWALK,FALSE,TRUE,1522,15,,,14,2002,-87.76317771,41.87284378
4303010,HL613433,023XX W AUGUSTA BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,1312,12,32,24,14,2005,-87.68524961,41.89940638
10079280,HY267896,115XX S STEWART AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),FALSE,TRUE,522,5,34,53,14,2015,-87.63245993,41.68450696
5758092,HN568531,052XX S CARPENTER ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,TRUE,934,9,16,61,14,2007,-87.65135838,41.79906661
7881407,HT112422,039XX S ROCKWELL ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,914,9,12,58,14,2011,-87.68970283,41.82167019
8805149,HV479133,014XX W OAKDALE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,1932,19,32,6,14,2012,-87.66465887,41.93519105
8921352,HV592346,016XX N KILDARE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,2534,25,30,23,14,2012,-87.73367311,41.91042961
2325074,HH619797,019XX S MAY ST,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,STREET,FALSE,FALSE,1233,12,25,31,14,2002,-87.65478711,41.85573412
10624311,HZ376709,079XX S INGLESIDE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,624,6,8,44,14,2016,-87.60152439,41.75042201
8899397,HV573337,013XX S CHRISTIANA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,1021,10,24,29,14,2012,-87.70925654,41.86404527
3906764,HL269210,033XX W DICKENS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1413,14,26,22,14,2005,-87.71090952,41.91918058
4249096,HL567458,066XX S CALIFORNIA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,TRUE,FALSE,831,8,15,66,14,2005,-87.69323424,41.77281419
7260480,HR674429,056XX S RICHMOND ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,824,8,14,63,14,2009,-87.69738135,41.79090565
4606754,HM200888,069XX W HIGGINS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,1613,16,41,10,14,2006,-87.80040126,41.97969354
9817983,HX467661,013XX S HOMAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,TRUE,TRUE,1021,10,24,29,14,2014,-87.71046084,41.86365114
9801245,HX448587,113XX S COTTAGE GROVE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,531,5,9,50,14,2014,-87.6108423,41.68841275
7399281,HS200939,053XX W CONGRESS PKWY,1320,CRIMINAL DAMAGE,TO VEHICLE,"SCHOOL, PUBLIC, GROUNDS",FALSE,FALSE,1522,15,29,25,14,2010,-87.7584391,41.8739014
5567780,HN335611,035XX N CICERO AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESTAURANT,FALSE,FALSE,1634,16,38,15,14,2007,-87.74704439,41.94550677
10770065,HZ535494,033XX W 38TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,911,9,12,58,14,2016,-87.70784072,41.82435275
9499538,HX154767,053XX N RAVENSWOOD AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE-GARAGE,FALSE,FALSE,2012,20,40,4,14,2014,-87.67507366,41.97814597
4728934,HM337445,028XX N LARAMIE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,TRUE,2514,25,31,19,14,2006,-87.75643821,41.93182501
4646705,HM244120,016XX W TOUHY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,2423,24,49,1,14,2006,-87.67115923,42.01269752
6937224,HR342598,022XX W 21ST ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1223,12,25,31,14,2009,-87.68210466,41.85390268
3823238,HL187666,014XX W CHICAGO AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,BAR OR TAVERN,TRUE,FALSE,1323,12,27,24,14,2005,-87.66428058,41.89611927
9305467,HW449676,039XX W GLADYS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,TRUE,1132,11,24,26,14,2013,-87.72410855,41.87619698
7781193,HS589302,095XX S CONSTANCE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,TRUE,431,4,7,51,14,2010,-87.57898476,41.72177386
9491052,HX145326,027XX S SACRAMENTO AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,1033,10,12,30,14,2014,-87.7000729,41.84229613
5744223,HN553354,056XX S PRINCETON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,711,7,3,68,14,2007,-87.63292413,41.79180409
6007606,HN784049,026XX W 84TH PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,TRUE,835,8,18,70,14,2007,-87.68890519,41.74016294
2862972,HJ527694,042XX N SACRAMENTO AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,1724,17,33,16,14,2003,-87.70326764,41.95830989
4700014,HM303461,040XX W CULLOM AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1722,17,39,16,14,2006,-87.72833797,41.95911707
4920006,HM535632,055XX N MC VICKER AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE-GARAGE,FALSE,FALSE,1622,16,45,11,14,2006,-87.7792346,41.98190944
8119054,HT353855,069XX S ADA ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,734,7,17,67,14,2011,-87.6578366,41.76818496
1414626,G134016,055XX S NOTTINGHAM AV,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,811,8,,,14,2001,-87.79878798,41.7905386
6713046,HR125162,054XX S KARLOV AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,815,8,23,62,14,2009,-87.72565247,41.79455215
1720702,G496261,057XX S HAMILTON AV,1310,CRIMINAL DAMAGE,TO PROPERTY,WAREHOUSE,TRUE,FALSE,715,7,,,14,2001,-87.67797972,41.79014072
3108542,HJ842548,015XX W AUGUSTA BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1323,12,27,24,14,2003,-87.66615665,41.89972788
5450649,HN280980,036XX N LINCOLN AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE,FALSE,FALSE,1923,19,47,5,14,2007,-87.67414628,41.94752628
11185730,JA560123,031XX N NEWCASTLE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,TRUE,FALSE,2511,25,36,18,14,2017,-87.79688972,41.93707873
